Scenario,EpsilonRange,T,FC,Alpha,F1_Score,Epsilon,FGSM,PGD,Train_Accuracy,Train_Loss,Val_Accuracy,Val_Loss,Test_Accuracy,Test_Loss,Memory
2,0.2-0.5,19,51,0.0000001,0.91755847,0.0412,37,13,0.915199995,0.275811732,0.921000004,0.26211068,0.917800009,0.269218862,195.5
2,0.2-0.5,20,56,0.0000001,0.914549902,0.0471,28,22,0.915400028,0.260406345,0.913399994,0.290012211,0.914399981,0.275332808,-375.59375
2,0.2-0.5,21,86,0.0000001,0.911927133,0.0426,12,38,0.913600028,0.304608434,0.911800027,0.293558985,0.912299991,0.299758941,338.953125
2,0.2-0.5,22,71,0.0000001,0.915126066,0.0385,25,25,0.915600002,0.268561721,0.913800001,0.28738752,0.915099978,0.278222859,243.453125
2,0.2-0.5,23,68,0.0000001,0.910729954,0.0332,47,3,0.908599973,0.274030685,0.912999988,0.277511925,0.910700023,0.275862098,96.96875
2,0.2-0.5,24,109,0.00000001,0.910395489,0.0292,48,2,0.912,0.268137902,0.909200013,0.284144163,0.91079998,0.276190609,-797.796875
2,0.2-0.5,25,91,0.00000001,0.912346039,0.042,4,46,0.908200026,0.328956276,0.916400015,0.288492531,0.912299991,0.30874002,195.125
2,0.2-0.5,26,72,0.00000001,0.910234145,0.0442,13,37,0.912400007,0.284653217,0.907199979,0.312832117,0.909799993,0.298750579,-437.171875
2,0.2-0.5,27,338,0.00000001,0.882449076,0.0253,11,39,0.881600022,0.397602201,0.887399971,0.373321474,0.884199977,0.386128843,-668.265625
2,0.2-0.5,28,78,0.00000001,0.910348054,0.0496,2,48,0.912,0.29610461,0.908599973,0.313047379,0.910300016,0.304584324,156.125
2,0.2-0.5,29,57,0.000000001,0.915397545,0.0445,23,27,0.912999988,0.283209831,0.916999996,0.288601041,0.915000021,0.285905421,-1514.484375
2,0.2-0.5,30,347,0.000000001,0.883742166,0.0236,24,26,0.887600005,0.375148267,0.884000003,0.376119912,0.885699987,0.375652522,-364.34375
2,0.2-0.5,31,354,0.000000001,0.885654439,0.0253,7,43,0.887600005,0.396254808,0.888199985,0.364658386,0.887899995,0.380472869,100.265625
2,0.2-0.5,32,56,0.000000001,0.914076312,0.0392,39,11,0.917200029,0.267542303,0.911000013,0.27820757,0.914099991,0.272875011,-42.921875
2,0.2-0.5,33,55,0.000000001,0.915940133,0.0329,48,2,0.915199995,0.257103056,0.916599989,0.270317256,0.915899992,0.263710439,82.234375
3,0.3-0.6,1,0,0.001,0.045343687,0,0,0,0.466075003,1.479422331,0.621200025,1.079183698,0.080399998,2.394174337,0
3,0.3-0.6,2,0,0.001,0.603603451,0,0,0,0.652175009,0.988139331,0.677999973,0.931122959,0.614199996,1.095830321,0
3,0.3-0.6,3,0,0.001,0.671695383,0,0,0,0.715974987,0.810890257,0.725700021,0.805269659,0.675199986,0.945422173,0
3,0.3-0.6,4,5000,0.0001,0.464087499,0.0375,38,12,0.629999995,1.784181237,0.763800025,0.747178972,0.3574,10.89498329,129.125
3,0.3-0.6,5,165,0.0001,0.847428333,0.0492,27,23,0.852800012,0.46919015,0.859000027,0.445642769,0.846300006,0.504425943,-268.046875
3,0.3-0.6,6,140,0.0001,0.869670245,0.0423,18,32,0.867399991,0.430568844,0.876399994,0.402510196,0.868700027,0.44299829,-989.390625
3,0.3-0.6,7,32,0.0001,0.889710935,0.0591,41,9,0.888199985,0.348487437,0.891600013,0.343346566,0.888800025,0.353393525,45.8125
3,0.3-0.6,8,171,0.0001,0.889093613,0.0423,16,34,0.896799982,0.328456163,0.895600021,0.33202067,0.891900003,0.361504823,71.296875
3,0.3-0.6,9,99,1.00E-05,0.9020331,0.0589,6,44,0.911000013,0.316980064,0.910000026,0.312567234,0.907299995,0.326598793,35.359375
3,0.3-0.6,10,159,1.00E-05,0.900926912,0.0372,19,31,0.906799972,0.3070077,0.908200026,0.298481494,0.903199971,0.318951428,138.625
3,0.3-0.6,11,137,1.00E-05,0.909942869,0.0326,28,22,0.915000021,0.288769662,0.905799985,0.304080188,0.910600007,0.30102098,-178.796875
3,0.3-0.6,12,84,1.00E-05,0.90744853,0.054,3,47,0.911199987,0.322397739,0.915799975,0.309336632,0.909200013,0.329642951,173.640625
3,0.3-0.6,13,61,1.00E-05,0.914806452,0.0463,46,4,0.916400015,0.253268152,0.918799996,0.259393543,0.915499985,0.265885562,218.4375
3,0.3-0.6,14,25,1.00E-06,0.924963006,0.0524,40,10,0.923200011,0.24362132,0.925999999,0.241144627,0.925499976,0.242497906,-231.5
3,0.3-0.6,15,264,1.00E-06,0.896769331,0.0308,6,44,0.901799977,0.313102812,0.916400015,0.302072316,0.899800003,0.337561339,363.515625
3,0.3-0.6,16,34,1.00E-06,0.917563046,0.0408,35,15,0.917400002,0.252897501,0.921199977,0.280097902,0.917200029,0.270711124,281.640625
3,0.3-0.6,17,50,1.00E-06,0.919702846,0.0479,31,19,0.921999991,0.249670699,0.920000017,0.254738808,0.920899987,0.252260625,-737.34375
3,0.3-0.6,18,225,1.00E-06,0.90444449,0.0306,17,33,0.913399994,0.290273815,0.908800006,0.314522713,0.906099975,0.321888417,-23.890625
3,0.3-0.6,19,98,1.00E-07,0.910368096,0.0334,5,45,0.907599986,0.315937608,0.914399981,0.289622575,0.91109997,0.302915126,-242.234375
3,0.3-0.6,20,66,1.00E-07,0.915792458,0.0582,16,34,0.921999991,0.270867735,0.913200021,0.308052987,0.917500019,0.290341675,-323.609375
3,0.3-0.6,21,47,1.00E-07,0.919256642,0.0509,21,29,0.922200024,0.272010893,0.91900003,0.270845979,0.920099974,0.271995664,-17.140625
3,0.3-0.6,22,14,1.00E-07,0.924913854,0.0449,49,1,0.920599997,0.251791745,0.92839998,0.234419927,0.924499989,0.243811667,81.46875
3,0.3-0.6,23,97,1.00E-07,0.914696179,0.0346,10,40,0.916599989,0.301454306,0.915199995,0.2712107,0.915799975,0.286453068,-562.96875
3,0.3-0.6,24,90,1.00E-08,0.918190397,0.0354,37,13,0.919799984,0.261554688,0.919200003,0.269646674,0.919499993,0.265605539,-521.78125
3,0.3-0.6,25,26,1.00E-08,0.923382399,0.0493,29,21,0.925000012,0.248369828,0.922200024,0.261546314,0.923600018,0.25499627,-431.859375
3,0.3-0.6,26,126,1.00E-08,0.910115009,0.0319,21,29,0.913800001,0.29571569,0.908399999,0.291751623,0.911000013,0.293780744,-141.78125
3,0.3-0.6,27,86,1.00E-08,0.916900502,0.0388,1,49,0.916800022,0.275926024,0.920400023,0.267191231,0.918600023,0.271561712,284.59375
3,0.3-0.6,28,56,1.00E-08,0.918765188,0.0439,11,39,0.920799971,0.265599191,0.919399977,0.269292563,0.920099974,0.267459422,-699.3125
3,0.3-0.6,29,141,1.00E-09,0.911471597,0.0316,13,37,0.914399981,0.284579039,0.911199987,0.297722489,0.912800014,0.291152745,295.3125
3,0.3-0.6,30,46,1.00E-09,0.921232303,0.0508,25,25,0.922399998,0.24723044,0.922399998,0.254869878,0.922399998,0.251050591,-169.109375
3,0.3-0.6,31,29,1.00E-09,0.921735413,0.0585,26,24,0.922200024,0.252310455,0.923200011,0.248853058,0.922699988,0.250582337,274.375
3,0.3-0.6,32,90,1.00E-09,0.918682373,0.0352,17,33,0.916800022,0.280578315,0.922999978,0.26083234,0.9199,0.270705491,-388.453125
3,0.3-0.6,33,57,1.00E-09,0.919762069,0.0393,29,21,0.925000012,0.249411523,0.916800022,0.268337756,0.920899987,0.258874595,7.8125
4,0.4-0.7,1,0,0.001,0.019159626,0,0,0,0.458499998,1.500346661,0.603999972,1.128706098,0.100100003,2.397748947,0
4,0.4-0.7,2,0,0.001,0.59837488,0,0,0,0.65259999,0.994096756,0.676599979,0.927904606,0.601700008,1.122219086,0
4,0.4-0.7,3,0,0.001,0.672734971,0,0,0,0.718174994,0.809333622,0.728399992,0.779380202,0.676699996,0.939328909,0
4,0.4-0.7,4,5000,0.0001,0.46825172,0.0579,10,40,0.707000017,1.277514935,0.789399981,0.669739723,0.360000014,9.221921921,273.9960938
4,0.4-0.7,5,209,0.0001,0.855462584,0.0684,31,19,0.852999985,0.486202627,0.875400007,0.435173571,0.855799973,0.509332895,344.546875
