"y1","y2","x1","x2","x3","z1","z2","c1","c2","c3"
0.823692594379288,0.000345800488550249,0.01,0.98,0.01,1,1,0,1,0
0.747909912966937,0.000374364106069924,0.98,0.01,0.01,1,1,0,1,0
0.899000614329395,0.00279934490350099,0.01,0.495,0.495,1,1,0,1,0
0.879250034354535,0.0049142155481809,0.495,0.01,0.495,1,1,0,1,0
0.889107542347276,0.00462302425772206,0.495,0.495,0.01,1,1,0,1,0
0.906581212076774,2.93687388144874e-05,0.33,0.33,0.34,1,1,0,1,0
0.758303435213516,0.000592614508264615,0.01,0.01,0.98,0,1,0,1,0
0.694846273751496,0.00210545030443359,0.01,0.98,0.01,0,1,0,1,0
0.402235769512707,0.00726233450786962,0.98,0.01,0.01,0,1,0,1,0
0.820920152023216,0.00723115036445088,0.01,0.495,0.495,0,1,0,1,0
0.825690181359328,0.00740333489428168,0.495,0.01,0.495,0,1,0,1,0
0.762281620870293,0.0382457388169581,0.495,0.495,0.01,0,1,0,1,0
0.84825466847664,9.08633194856306e-05,0.33,0.33,0.34,0,1,0,1,0
0.99599669400919,4.96465169883561e-06,0.01,0.01,0.98,1,0,0,1,0
0.833567244029114,0.026564616635823,0.01,0.98,0.01,1,0,0,1,0
0.798327847340408,0.0414390266136764,0.98,0.01,0.01,1,0,0,1,0
0.930475445645861,0.0131379236432489,0.01,0.495,0.495,1,0,0,1,0
0.937699364750792,0.0105462947134472,0.495,0.01,0.495,1,0,0,1,0
0.830419806893605,0.021249031249218,0.495,0.495,0.01,1,0,0,1,0
0.914931092304226,0.00542499900997312,0.33,0.33,0.34,1,0,0,1,0
0.982391441103807,9.41568407851487e-06,0.01,0.01,0.98,0,0,0,1,0
0.518352837547874,0.0249010325738809,0.01,0.98,0.01,0,0,0,1,0
0.381067838141752,0.0106436671279935,0.98,0.01,0.01,0,0,0,1,0
0.917378459829707,0.0184528410544386,0.01,0.495,0.495,0,0,0,1,0
0.902454128233603,0.0254771293812482,0.495,0.01,0.495,0,0,0,1,0
0.638611881740367,0.0067981003305327,0.495,0.495,0.01,0,0,0,1,0
0.889864495787771,0.00864338740285073,0.33,0.33,0.34,0,0,0,1,0
0.815655378487904,0.000259231542029286,0.01,0.01,0.98,1,1,0,1,0
0.842817215122913,0.00024495811266582,0.01,0.98,0.01,1,1,0,1,0
0.765412588473031,8.07892667638244e-05,0.98,0.01,0.01,1,1,0,1,0
0.889864108374973,0.00457687755440193,0.01,0.495,0.495,1,1,0,1,0
0.870558051264855,0.00659078131873592,0.495,0.01,0.495,1,1,0,1,0
0.870041474613336,0.00870029837526661,0.495,0.495,0.01,1,1,0,1,0
0.907446351641936,4.99420144679185e-05,0.33,0.33,0.34,1,1,0,1,0
0.718891243642193,0.000805582895558537,0.01,0.01,0.98,0,1,0,1,0
0.684939869193463,0.00333729606479706,0.01,0.98,0.01,0,1,0,1,0
0.40627457834484,0.0070794777038279,0.98,0.01,0.01,0,1,0,1,0
0.827045163840721,0.00806609105285144,0.01,0.495,0.495,0,1,0,1,0
0.826161256787823,0.00762757612907132,0.495,0.01,0.495,0,1,0,1,0
0.761324189036485,0.0376470212420607,0.495,0.495,0.01,0,1,0,1,0
0.847734285083113,3.23795248253438e-05,0.33,0.33,0.34,0,1,0,1,0
0.996273494802833,8.60293533419287e-06,0.01,0.01,0.98,1,0,0,1,0
0.794339302808487,0.0169801428670781,0.01,0.98,0.01,1,0,0,1,0
0.837096004656066,0.0262907500817884,0.98,0.01,0.01,1,0,0,1,0
0.937534095663792,0.0104536408972814,0.01,0.495,0.495,1,0,0,1,0
0.924682031024764,0.0155658265011899,0.495,0.01,0.495,1,0,0,1,0
0.828584313629108,0.0187103709095358,0.495,0.495,0.01,1,0,0,1,0
0.912991504271879,0.00567432466424811,0.33,0.33,0.34,1,0,0,1,0
0.982641058885055,7.42013067247986e-06,0.01,0.01,0.98,0,0,0,1,0
0.572631525037757,2.31635560827314e-05,0.01,0.98,0.01,0,0,0,1,0
0.369956237517413,0.0127106034305806,0.98,0.01,0.01,0,0,0,1,0
0.917514660413922,0.0178936546467159,0.01,0.495,0.495,0,0,0,1,0
0.912531948432537,0.0202100896683263,0.495,0.01,0.495,0,0,0,1,0
0.616723583212105,0.0166175430275393,0.495,0.495,0.01,0,0,0,1,0
0.879572020660137,0.0100434879553758,0.33,0.33,0.34,0,0,0,1,0
0.834472874531331,0.000473771094363007,0.01,0.01,0.98,1,1,0,1,0
0.834077380878889,0.000104127617949535,0.01,0.98,0.01,1,1,0,1,0
0.777725027408832,0.000122376575603433,0.98,0.01,0.01,1,1,0,1,0
0.888923153658726,0.00551059918256597,0.01,0.495,0.495,1,1,0,1,0
0.87407018140997,0.00547511183912329,0.495,0.01,0.495,1,1,0,1,0
0.89040797906626,0.00549939668689895,0.495,0.495,0.01,1,1,0,1,0
0.905796708287459,5.99384540120504e-05,0.33,0.33,0.34,1,1,0,1,0
0.76842985372327,0.000977598019296535,0.01,0.01,0.98,0,1,0,1,0
0.694774259715742,0.00102386189831421,0.01,0.98,0.01,0,1,0,1,0
0.400630662122404,0.00753867474112722,0.98,0.01,0.01,0,1,0,1,0
0.831250357359773,0.00594215745995831,0.01,0.495,0.495,0,1,0,1,0
0.828776241705183,0.00745845638558867,0.495,0.01,0.495,0,1,0,1,0
0.767018148911009,0.0325605156776939,0.495,0.495,0.01,0,1,0,1,0
0.8512113327312,5.99468263259562e-05,0.33,0.33,0.34,0,1,0,1,0
0.994154799957538,1.21741982482969e-05,0.01,0.01,0.98,1,0,0,1,0
0.840779016361592,0.0224878768957787,0.01,0.98,0.01,1,0,0,1,0
0.812961878847087,0.0356924698162122,0.98,0.01,0.01,1,0,0,1,0
0.936620204068355,0.0107395349795542,0.01,0.495,0.495,1,0,0,1,0
0.917524205265269,0.0186794136959309,0.495,0.01,0.495,1,0,0,1,0
0.828733452743119,0.0197310516663342,0.495,0.495,0.01,1,0,0,1,0
0.91535996205972,0.00536864669487041,0.33,0.33,0.34,1,0,0,1,0
0.971194318366307,3.82205234827263e-07,0.01,0.01,0.98,0,0,0,1,0
0.511515032972752,0.00390889744043399,0.01,0.98,0.01,0,0,0,1,0
0.386861646778444,0.00964424748268804,0.98,0.01,0.01,0,0,0,1,0
0.941329206839601,0.00895577138879022,0.01,0.495,0.495,0,0,0,1,0
0.911069582758152,0.0212998972696471,0.495,0.01,0.495,0,0,0,1,0
0.637887160135895,0.00878680920997328,0.495,0.495,0.01,0,0,0,1,0
0.88792907579194,0.00884582580126371,0.33,0.33,0.34,0,0,0,1,0
0.676409505861362,0.0191940272399817,0.01,0.01,0.98,1,1,0,0,1
0.669219399707904,0.0194294968183086,0.01,0.98,0.01,1,1,0,0,1
0.640983240894645,0.00616568347379448,0.98,0.01,0.01,1,1,0,0,1
0.810224484247292,0.000234258322590818,0.01,0.495,0.495,1,1,0,0,1
